movieId,AverageRating
1,3.9209302325581397
2,3.4318181818181817
3,3.2596153846153846
4,2.357142857142857
5,3.0714285714285716
6,3.946078431372549
7,3.185185185185185
8,2.875
9,3.125
10,3.496212121212121
11,3.6714285714285713
12,2.4210526315789473
13,3.125
14,3.8333333333333335
15,3.0
16,3.926829268292683
17,3.7761194029850746
18,3.7
19,2.727272727272727
20,2.5
21,3.49438202247191
22,3.2222222222222223
23,3.125
24,3.125
25,3.625
26,3.5
27,3.3333333333333335
28,4.2272727272727275
29,4.0131578947368425
30,3.0
